Einkommen,Einfache Steuer Alleinstehende,EAinProzent,Einfache Steuer gemeinsam Steuerpflichtige,EgSinProzent
281’500,23’927.50,8.5000%,21’709.30,7.7120%
281’600,23’936.00,8.5000%,21’720.40,7.7132%
281’700,23’944.50,8.5000%,21’728.10,7.7132%
281’800,23’953.00,8.5000%,21’739.20,7.7144%
281’900,23’961.50,8.5000%,21’746.90,7.7144%
282’000,23’970.00,8.5000%,21’758.00,7.7156%
282’100,23’978.50,8.5000%,21’765.70,7.7156%
282’200,23’987.00,8.5000%,21’776.80,7.7168%
282’300,23’995.50,8.5000%,21’784.50,7.7168%
282’400,24’004.00,8.5000%,21’795.60,7.7180%
282’500,24’012.50,8.5000%,21’803.30,7.7180%
282’600,24’021.00,8.5000%,21’814.40,7.7192%
282’700,24’029.50,8.5000%,21’822.10,7.7192%
282’800,24’038.00,8.5000%,21’833.20,7.7204%
282’900,24’046.50,8.5000%,21’840.90,7.7204%
283’000,24’055.00,8.5000%,21’852.00,7.7216%
283’100,24’063.50,8.5000%,21’859.70,7.7216%
283’200,24’072.00,8.5000%,21’870.80,7.7227%
283’300,24’080.50,8.5000%,21’878.50,7.7227%
283’400,24’089.00,8.5000%,21’889.60,7.7239%
283’500,24’097.50,8.5000%,21’897.30,7.7239%
283’600,24’106.00,8.5000%,21’908.40,7.7251%
283’700,24’114.50,8.5000%,21’916.15,7.7251%
283’800,24’123.00,8.5000%,21’927.20,7.7263%
283’900,24’131.50,8.5000%,21’934.95,7.7263%
284’000,24’140.00,8.5000%,21’946.00,7.7275%
284’100,24’148.50,8.5000%,21’953.75,7.7275%
284’200,24’157.00,8.5000%,21’964.80,7.7286%
284’300,24’165.50,8.5000%,21’972.55,7.7286%
284’400,24’174.00,8.5000%,21’983.60,7.7298%
284’500,24’182.50,8.5000%,21’991.35,7.7298%
284’600,24’191.00,8.5000%,22’002.40,7.7310%
284’700,24’199.50,8.5000%,22’010.15,7.7310%
284’800,24’208.00,8.5000%,22’021.20,7.7322%
284’900,24’216.50,8.5000%,22’028.95,7.7322%
285’000,24’225.00,8.5000%,22’040.00,7.7333%
285’100,24’233.50,8.5000%,22’047.75,7.7333%
285’200,24’242.00,8.5000%,22’058.80,7.7345%
285’300,24’250.50,8.5000%,22’066.55,7.7345%
285’400,24’259.00,8.5000%,22’077.60,7.7357%
285’500,24’267.50,8.5000%,22’085.35,7.7357%
285’600,24’276.00,8.5000%,22’096.40,7.7368%
285’700,24’284.50,8.5000%,22’104.15,7.7368%
285’800,24’293.00,8.5000%,22’115.20,7.7380%
285’900,24’301.50,8.5000%,22’122.95,7.7380%
286’000,24’310.00,8.5000%,22’134.00,7.7392%
286’100,24’318.50,8.5000%,22’141.75,7.7392%
286’200,24’327.00,8.5000%,22’152.80,7.7403%
286’300,24’335.50,8.5000%,22’160.55,7.7403%
286’400,24’344.00,8.5000%,22’171.60,7.7415%
286’500,24’352.50,8.5000%,22’179.35,7.7415%
286’600,24’361.00,8.5000%,22’190.40,7.7426%
286’700,24’369.50,8.5000%,22’198.15,7.7426%
286’800,24’378.00,8.5000%,22’209.20,7.7438%
286’900,24’386.50,8.5000%,22’216.95,7.7438%
287’000,24’395.00,8.5000%,22’228.00,7.7449%
287’100,24’403.50,8.5000%,22’235.75,7.7449%
287’200,24’412.00,8.5000%,22’246.80,7.7461%
287’300,24’420.50,8.5000%,22’254.55,7.7461%
287’400,24’429.00,8.5000%,22’265.60,7.7473%
287’500,24’437.50,8.5000%,22’273.35,7.7473%
287’600,24’446.00,8.5000%,22’284.40,7.7484%
287’700,24’454.50,8.5000%,22’292.15,7.7484%
287’800,24’463.00,8.5000%,22’303.20,7.7495%
287’900,24’471.50,8.5000%,22’310.95,7.7495%
288’000,24’480.00,8.5000%,22’322.00,7.7507%
288’100,24’488.50,8.5000%,22’329.75,7.7507%
288’200,24’497.00,8.5000%,22’340.80,7.7518%
288’300,24’505.50,8.5000%,22’348.55,7.7518%
288’400,24’514.00,8.5000%,22’359.60,7.7530%
288’500,24’522.50,8.5000%,22’367.35,7.7530%
288’600,24’531.00,8.5000%,22’378.40,7.7541%
288’700,24’539.50,8.5000%,22’386.15,7.7541%
288’800,24’548.00,8.5000%,22’397.20,7.7553%
288’900,24’556.50,8.5000%,22’404.95,7.7553%
289’000,24’565.00,8.5000%,22’416.00,7.7564%
289’100,24’573.50,8.5000%,22’423.75,7.7564%
289’200,24’582.00,8.5000%,22’434.80,7.7575%
289’300,24’590.50,8.5000%,22’442.55,7.7575%
289’400,24’599.00,8.5000%,22’453.60,7.7587%
289’500,24’607.50,8.5000%,22’461.35,7.7587%
289’600,24’616.00,8.5000%,22’472.40,7.7598%
289’700,24’624.50,8.5000%,22’480.15,7.7598%
289’800,24’633.00,8.5000%,22’491.20,7.7609%
289’900,24’641.50,8.5000%,22’498.95,7.7609%
290’000,24’650.00,8.5000%,22’510.00,7.7621%
290’100,24’658.50,8.5000%,22’517.75,7.7621%
290’200,24’667.00,8.5000%,22’528.80,7.7632%
290’300,24’675.50,8.5000%,22’536.55,7.7632%
290’400,24’684.00,8.5000%,22’547.60,7.7643%
290’500,24’692.50,8.5000%,22’555.35,7.7643%
290’600,24’701.00,8.5000%,22’566.40,7.7655%
290’700,24’709.50,8.5000%,22’574.15,7.7655%
290’800,24’718.00,8.5000%,22’585.20,7.7666%
290’900,24’726.50,8.5000%,22’592.95,7.7666%
291’000,24’735.00,8.5000%,22’604.00,7.7677%
291’100,24’743.50,8.5000%,22’611.75,7.7677%
291’200,24’752.00,8.5000%,22’622.80,7.7688%
291’300,24’760.50,8.5000%,22’630.55,7.7688%
291’400,24’769.00,8.5000%,22’641.60,7.7699%
291’500,24’777.50,8.5000%,22’649.35,7.7699%
291’600,24’786.00,8.5000%,22’660.40,7.7711%
291’700,24’794.50,8.5000%,22’668.15,7.7711%
291’800,24’803.00,8.5000%,22’679.20,7.7722%
291’900,24’811.50,8.5000%,22’686.95,7.7722%
292’000,24’820.00,8.5000%,22’698.00,7.7733%
292’100,24’828.50,8.5000%,22’705.75,7.7733%
292’200,24’837.00,8.5000%,22’716.80,7.7744%
292’300,24’845.50,8.5000%,22’724.55,7.7744%
292’400,24’854.00,8.5000%,22’735.60,7.7755%
292’500,24’862.50,8.5000%,22’743.40,7.7755%
292’600,24’871.00,8.5000%,22’754.40,7.7766%
292’700,24’879.50,8.5000%,22’762.20,7.7766%
292’800,24’888.00,8.5000%,22’773.20,7.7777%
292’900,24’896.50,8.5000%,22’781.00,7.7777%
293’000,24’905.00,8.5000%,22’792.00,7.7788%
293’100,24’913.50,8.5000%,22’799.80,7.7788%
293’200,24’922.00,8.5000%,22’810.80,7.7799%
293’300,24’930.50,8.5000%,22’818.60,7.7799%
293’400,24’939.00,8.5000%,22’829.60,7.7810%
293’500,24’947.50,8.5000%,22’837.40,7.7810%
293’600,24’956.00,8.5000%,22’848.40,7.7822%
293’700,24’964.50,8.5000%,22’856.20,7.7822%
293’800,24’973.00,8.5000%,22’867.20,7.7833%
293’900,24’981.50,8.5000%,22’875.00,7.7833%
294’000,24’990.00,8.5000%,22’886.00,7.7844%
294’100,24’998.50,8.5000%,22’893.80,7.7844%
294’200,25’007.00,8.5000%,22’904.80,7.7855%
294’300,25’015.50,8.5000%,22’912.60,7.7855%
294’400,25’024.00,8.5000%,22’923.60,7.7865%
294’500,25’032.50,8.5000%,22’931.40,7.7865%
294’600,25’041.00,8.5000%,22’942.40,7.7876%
294’700,25’049.50,8.5000%,22’950.20,7.7876%
294’800,25’058.00,8.5000%,22’961.20,7.7887%
294’900,25’066.50,8.5000%,22’969.00,7.7887%
295’000,25’075.00,8.5000%,22’980.00,7.7898%
295’100,25’083.50,8.5000%,22’987.80,7.7898%
295’200,25’092.00,8.5000%,22’998.80,7.7909%
295’300,25’100.50,8.5000%,23’006.60,7.7909%
295’400,25’109.00,8.5000%,23’017.60,7.7920%
295’500,25’117.50,8.5000%,23’025.40,7.7920%
295’600,25’126.00,8.5000%,23’036.40,7.7931%
295’700,25’134.50,8.5000%,23’044.20,7.7931%
295’800,25’143.00,8.5000%,23’055.20,7.7942%
295’900,25’151.50,8.5000%,23’063.00,7.7942%
296’000,25’160.00,8.5000%,23’074.00,7.7953%
296’100,25’168.50,8.5000%,23’081.80,7.7953%
296’200,25’177.00,8.5000%,23’092.80,7.7964%
296’300,25’185.50,8.5000%,23’100.60,7.7964%
296’400,25’194.00,8.5000%,23’111.60,7.7974%
296’500,25’202.50,8.5000%,23’119.40,7.7974%
296’600,25’211.00,8.5000%,23’130.40,7.7985%
296’700,25’219.50,8.5000%,23’138.20,7.7985%
296’800,25’228.00,8.5000%,23’149.20,7.7996%
296’900,25’236.50,8.5000%,23’157.00,7.7996%
297’000,25’245.00,8.5000%,23’168.00,7.8007%
297’100,25’253.50,8.5000%,23’175.80,7.8007%
297’200,25’262.00,8.5000%,23’186.80,7.8017%
297’300,25’270.50,8.5000%,23’194.60,7.8017%
297’400,25’279.00,8.5000%,23’205.60,7.8028%
297’500,25’287.50,8.5000%,23’213.40,7.8028%
297’600,25’296.00,8.5000%,23’224.40,7.8039%
297’700,25’304.50,8.5000%,23’232.20,7.8039%
297’800,25’313.00,8.5000%,23’243.20,7.8050%
297’900,25’321.50,8.5000%,23’251.00,7.8050%
298’000,25’330.00,8.5000%,23’262.00,7.8060%
298’100,25’338.50,8.5000%,23’269.80,7.8060%
298’200,25’347.00,8.5000%,23’280.80,7.8071%
298’300,25’355.50,8.5000%,23’288.60,7.8071%
298’400,25’364.00,8.5000%,23’299.60,7.8082%
298’500,25’372.50,8.5000%,23’307.40,7.8082%
298’600,25’381.00,8.5000%,23’318.40,7.8092%
298’700,25’389.50,8.5000%,23’326.20,7.8092%
298’800,25’398.00,8.5000%,23’337.20,7.8103%
298’900,25’406.50,8.5000%,23’345.00,7.8103%
299’000,25’415.00,8.5000%,23’356.00,7.8114%
299’100,25’423.50,8.5000%,23’363.80,7.8114%
299’200,25’432.00,8.5000%,23’374.80,7.8124%
299’300,25’440.50,8.5000%,23’382.60,7.8124%
299’400,25’449.00,8.5000%,23’393.60,7.8135%
299’500,25’457.50,8.5000%,23’401.40,7.8135%
299’600,25’466.00,8.5000%,23’412.40,7.8146%
299’700,25’474.50,8.5000%,23’420.20,7.8146%
299’800,25’483.00,8.5000%,23’431.20,7.8156%
299’900,25’491.50,8.5000%,23’439.00,7.8156%
300’000,25’500.00,8.5000%,23’450.00,7.8167%
300’100,25’508.50,8.5000%,23’457.80,7.8167%
300’200,25’517.00,8.5000%,23’468.80,7.8177%
300’300,25’525.50,8.5000%,23’476.60,7.8177%
300’400,25’534.00,8.5000%,23’487.60,7.8188%
300’500,25’542.50,8.5000%,23’495.40,7.8188%
300’600,25’551.00,8.5000%,23’506.40,7.8198%
300’700,25’559.50,8.5000%,23’514.20,7.8198%
300’800,25’568.00,8.5000%,23’525.20,7.8209%
300’900,25’576.50,8.5000%,23’533.00,7.8209%
301’000,25’585.00,8.5000%,23’544.00,7.8219%
301’100,25’593.50,8.5000%,23’551.80,7.8219%
301’200,25’602.00,8.5000%,23’562.80,7.8230%
301’300,25’610.50,8.5000%,23’570.60,7.8230%
301’400,25’619.00,8.5000%,23’581.60,7.8240%
301’500,25’627.50,8.5000%,23’589.40,7.8240%
301’600,25’636.00,8.5000%,23’600.40,7.8251%
301’700,25’644.50,8.5000%,23’608.25,7.8251%
301’800,25’653.00,8.5000%,23’619.20,7.8261%
301’900,25’661.50,8.5000%,23’627.05,7.8261%
302’000,25’670.00,8.5000%,23’638.00,7.8272%
302’100,25’678.50,8.5000%,23’645.85,7.8272%
302’200,25’687.00,8.5000%,23’656.80,7.8282%
302’300,25’695.50,8.5000%,23’664.65,7.8282%
302’400,25’704.00,8.5000%,23’675.60,7.8292%
302’500,25’712.50,8.5000%,23’683.45,7.8292%
302’600,25’721.00,8.5000%,23’694.40,7.8303%
302’700,25’729.50,8.5000%,23’702.25,7.8303%
302’800,25’738.00,8.5000%,23’713.20,7.8313%
302’900,25’746.50,8.5000%,23’721.05,7.8313%
303’000,25’755.00,8.5000%,23’732.00,7.8323%
303’100,25’763.50,8.5000%,23’739.85,7.8323%
303’200,25’772.00,8.5000%,23’750.80,7.8334%
303’300,25’780.50,8.5000%,23’758.65,7.8334%
303’400,25’789.00,8.5000%,23’769.60,7.8344%
303’500,25’797.50,8.5000%,23’777.45,7.8344%
303’600,25’806.00,8.5000%,23’788.40,7.8354%
303’700,25’814.50,8.5000%,23’796.25,7.8354%
303’800,25’823.00,8.5000%,23’807.20,7.8365%
303’900,25’831.50,8.5000%,23’815.05,7.8365%
304’000,25’840.00,8.5000%,23’826.00,7.8375%
304’100,25’848.50,8.5000%,23’833.85,7.8375%
304’200,25’857.00,8.5000%,23’844.80,7.8385%
304’300,25’865.50,8.5000%,23’852.65,7.8385%
304’400,25’874.00,8.5000%,23’863.60,7.8396%
304’500,25’882.50,8.5000%,23’871.45,7.8396%
304’600,25’891.00,8.5000%,23’882.40,7.8406%
304’700,25’899.50,8.5000%,23’890.25,7.8406%
304’800,25’908.00,8.5000%,23’901.20,7.8416%
304’900,25’916.50,8.5000%,23’909.05,7.8416%
305’000,25’925.00,8.5000%,23’920.00,7.8426%
305’100,25’933.50,8.5000%,23’927.85,7.8426%
305’200,25’942.00,8.5000%,23’938.80,7.8436%
305’300,25’950.50,8.5000%,23’946.65,7.8436%
305’400,25’959.00,8.5000%,23’957.60,7.8447%
305’500,25’967.50,8.5000%,23’965.45,7.8447%
305’600,25’976.00,8.5000%,23’976.40,7.8457%
305’700,25’984.50,8.5000%,23’984.25,7.8457%
305’800,25’993.00,8.5000%,23’995.20,7.8467%
305’900,26’001.50,8.5000%,24’003.05,7.8467%
306’000,26’010.00,8.5000%,24’014.00,7.8477%
306’100,26’018.50,8.5000%,24’021.85,7.8477%
306’200,26’027.00,8.5000%,24’032.80,7.8487%
306’300,26’035.50,8.5000%,24’040.65,7.8487%
306’400,26’044.00,8.5000%,24’051.60,7.8497%
306’500,26’052.50,8.5000%,24’059.45,7.8497%
306’600,26’061.00,8.5000%,24’070.40,7.8508%
306’700,26’069.50,8.5000%,24’078.25,7.8508%
306’800,26’078.00,8.5000%,24’089.20,7.8518%
306’900,26’086.50,8.5000%,24’097.05,7.8518%
307’000,26’095.00,8.5000%,24’108.00,7.8528%
307’100,26’103.50,8.5000%,24’115.85,7.8528%
307’200,26’112.00,8.5000%,24’126.80,7.8538%
307’300,26’120.50,8.5000%,24’134.65,7.8538%
307’400,26’129.00,8.5000%,24’145.60,7.8548%
307’500,26’137.50,8.5000%,24’153.45,7.8548%
307’600,26’146.00,8.5000%,24’164.40,7.8558%
307’700,26’154.50,8.5000%,24’172.25,7.8558%
307’800,26’163.00,8.5000%,24’183.20,7.8568%
307’900,26’171.50,8.5000%,24’191.05,7.8568%
308’000,26’180.00,8.5000%,24’202.00,7.8578%
308’100,26’188.50,8.5000%,24’209.85,7.8578%
308’200,26’197.00,8.5000%,24’220.80,7.8588%
308’300,26’205.50,8.5000%,24’228.65,7.8588%
308’400,26’214.00,8.5000%,24’239.60,7.8598%
308’500,26’222.50,8.5000%,24’247.45,7.8598%
308’600,26’231.00,8.5000%,24’258.40,7.8608%
308’700,26’239.50,8.5000%,24’266.25,7.8608%
308’800,26’248.00,8.5000%,24’277.20,7.8618%
308’900,26’256.50,8.5000%,24’285.05,7.8618%
309’000,26’265.00,8.5000%,24’296.00,7.8628%
309’100,26’273.50,8.5000%,24’303.85,7.8628%
309’200,26’282.00,8.5000%,24’314.80,7.8638%
309’300,26’290.50,8.5000%,24’322.65,7.8638%
309’400,26’299.00,8.5000%,24’333.60,7.8648%
309’500,26’307.50,8.5000%,24’341.45,7.8648%
309’600,26’316.00,8.5000%,24’352.40,7.8658%
309’700,26’324.50,8.5000%,24’360.25,7.8658%
309’800,26’333.00,8.5000%,24’371.20,7.8668%
309’900,26’341.50,8.5000%,24’379.05,7.8668%
310’000,26’350.00,8.5000%,24’390.00,7.8677%
310’100,26’358.50,8.5000%,24’397.85,7.8677%
310’200,26’367.00,8.5000%,24’408.80,7.8687%
310’300,26’375.50,8.5000%,24’416.65,7.8687%
310’400,26’384.00,8.5000%,24’427.60,7.8697%
310’500,26’392.50,8.5000%,24’435.45,7.8697%
310’600,26’401.00,8.5000%,24’446.40,7.8707%
310’700,26’409.50,8.5000%,24’454.25,7.8707%
310’800,26’418.00,8.5000%,24’465.20,7.8717%
310’900,26’426.50,8.5000%,24’473.05,7.8717%
311’000,26’435.00,8.5000%,24’484.00,7.8727%
311’100,26’443.50,8.5000%,24’491.85,7.8727%
311’200,26’452.00,8.5000%,24’502.80,7.8737%
311’300,26’460.50,8.5000%,24’510.65,7.8737%
311’400,26’469.00,8.5000%,24’521.60,7.8746%
311’500,26’477.50,8.5000%,24’529.45,7.8746%
311’600,26’486.00,8.5000%,24’540.40,7.8756%
311’700,26’494.50,8.5000%,24’548.30,7.8756%
311’800,26’503.00,8.5000%,24’559.20,7.8766%
311’900,26’511.50,8.5000%,24’567.10,7.8766%
312’000,26’520.00,8.5000%,24’578.00,7.8776%
312’100,26’528.50,8.5000%,24’585.90,7.8776%
312’200,26’537.00,8.5000%,24’596.80,7.8785%
312’300,26’545.50,8.5000%,24’604.70,7.8785%
312’400,26’554.00,8.5000%,24’615.60,7.8795%
312’500,26’562.50,8.5000%,24’623.50,7.8795%
312’600,26’571.00,8.5000%,24’634.40,7.8805%
312’700,26’579.50,8.5000%,24’642.30,7.8805%
312’800,26’588.00,8.5000%,24’653.20,7.8815%
312’900,26’596.50,8.5000%,24’661.10,7.8815%
313’000,26’605.00,8.5000%,24’672.00,7.8824%
313’100,26’613.50,8.5000%,24’679.90,7.8824%
313’200,26’622.00,8.5000%,24’690.80,7.8834%
313’300,26’630.50,8.5000%,24’698.70,7.8834%
313’400,26’639.00,8.5000%,24’709.60,7.8844%
313’500,26’647.50,8.5000%,24’717.50,7.8844%
313’600,26’656.00,8.5000%,24’728.40,7.8853%
313’700,26’664.50,8.5000%,24’736.30,7.8853%
313’800,26’673.00,8.5000%,24’747.20,7.8863%
313’900,26’681.50,8.5000%,24’755.10,7.8863%
314’000,26’690.00,8.5000%,24’766.00,7.8873%
314’100,26’698.50,8.5000%,24’773.90,7.8873%
314’200,26’707.00,8.5000%,24’784.80,7.8882%
314’300,26’715.50,8.5000%,24’792.70,7.8882%
314’400,26’724.00,8.5000%,24’803.60,7.8892%
314’500,26’732.50,8.5000%,24’811.50,7.8892%
314’600,26’741.00,8.5000%,24’822.40,7.8901%
314’700,26’749.50,8.5000%,24’830.30,7.8901%
314’800,26’758.00,8.5000%,24’841.20,7.8911%
314’900,26’766.50,8.5000%,24’849.10,7.8911%
315’000,26’775.00,8.5000%,24’860.00,7.8921%
315’100,26’783.50,8.5000%,24’867.90,7.8921%
315’200,26’792.00,8.5000%,24’878.80,7.8930%
315’300,26’800.50,8.5000%,24’886.70,7.8930%
315’400,26’809.00,8.5000%,24’897.60,7.8940%
315’500,26’817.50,8.5000%,24’905.50,7.8940%
315’600,26’826.00,8.5000%,24’916.40,7.8949%
315’700,26’834.50,8.5000%,24’924.30,7.8949%
315’800,26’843.00,8.5000%,24’935.20,7.8959%
315’900,26’851.50,8.5000%,24’943.10,7.8959%
316’000,26’860.00,8.5000%,24’954.00,7.8968%
316’100,26’868.50,8.5000%,24’961.90,7.8968%
316’200,26’877.00,8.5000%,24’972.80,7.8978%
316’300,26’885.50,8.5000%,24’980.70,7.8978%
316’400,26’894.00,8.5000%,24’991.60,7.8987%
316’500,26’902.50,8.5000%,24’999.50,7.8987%
316’600,26’911.00,8.5000%,25’010.40,7.8997%
316’700,26’919.50,8.5000%,25’018.30,7.8997%
316’800,26’928.00,8.5000%,25’029.20,7.9006%
316’900,26’936.50,8.5000%,25’037.10,7.9006%
317’000,26’945.00,8.5000%,25’048.00,7.9016%
317’100,26’953.50,8.5000%,25’055.90,7.9016%
317’200,26’962.00,8.5000%,25’066.80,7.9025%
317’300,26’970.50,8.5000%,25’074.70,7.9025%
317’400,26’979.00,8.5000%,25’085.60,7.9035%
317’500,26’987.50,8.5000%,25’093.50,7.9035%
317’600,26’996.00,8.5000%,25’104.40,7.9044%
317’700,27’004.50,8.5000%,25’112.30,7.9044%
317’800,27’013.00,8.5000%,25’123.20,7.9053%
317’900,27’021.50,8.5000%,25’131.10,7.9053%
318’000,27’030.00,8.5000%,25’142.00,7.9063%
318’100,27’038.50,8.5000%,25’149.90,7.9063%
318’200,27’047.00,8.5000%,25’160.80,7.9072%
318’300,27’055.50,8.5000%,25’168.70,7.9072%
318’400,27’064.00,8.5000%,25’179.60,7.9082%
318’500,27’072.50,8.5000%,25’187.50,7.9082%
318’600,27’081.00,8.5000%,25’198.40,7.9091%
318’700,27’089.50,8.5000%,25’206.30,7.9091%
318’800,27’098.00,8.5000%,25’217.20,7.9100%
318’900,27’106.50,8.5000%,25’225.10,7.9100%
319’000,27’115.00,8.5000%,25’236.00,7.9110%
319’100,27’123.50,8.5000%,25’243.90,7.9110%
319’200,27’132.00,8.5000%,25’254.80,7.9119%
319’300,27’140.50,8.5000%,25’262.70,7.9119%
319’400,27’149.00,8.5000%,25’273.60,7.9128%
319’500,27’157.50,8.5000%,25’281.50,7.9128%
319’600,27’166.00,8.5000%,25’292.40,7.9138%
319’700,27’174.50,8.5000%,25’300.30,7.9138%
319’800,27’183.00,8.5000%,25’311.20,7.9147%
319’900,27’191.50,8.5000%,25’319.10,7.9147%
320’000,27’200.00,8.5000%,25’330.00,7.9156%
320’100,27’208.50,8.5000%,25’337.90,7.9156%
320’200,27’217.00,8.5000%,25’348.80,7.9166%
320’300,27’225.50,8.5000%,25’356.70,7.9166%
320’400,27’234.00,8.5000%,25’367.60,7.9175%
320’500,27’242.50,8.5000%,25’375.50,7.9175%
320’600,27’251.00,8.5000%,25’386.40,7.9184%
320’700,27’259.50,8.5000%,25’394.30,7.9184%
320’800,27’268.00,8.5000%,25’405.20,7.9193%
320’900,27’276.50,8.5000%,25’413.10,7.9193%
321’000,27’285.00,8.5000%,25’424.00,7.9202%
321’100,27’293.50,8.5000%,25’431.90,7.9202%
321’200,27’302.00,8.5000%,25’442.80,7.9212%
321’300,27’310.50,8.5000%,25’450.70,7.9212%
321’400,27’319.00,8.5000%,25’461.60,7.9221%
321’500,27’327.50,8.5000%,25’469.50,7.9221%
321’600,27’336.00,8.5000%,25’480.40,7.9230%
321’700,27’344.50,8.5000%,25’488.30,7.9230%
321’800,27’353.00,8.5000%,25’499.20,7.9239%
321’900,27’361.50,8.5000%,25’507.10,7.9239%
322’000,27’370.00,8.5000%,25’518.00,7.9248%
322’100,27’378.50,8.5000%,25’525.90,7.9248%
322’200,27’387.00,8.5000%,25’536.80,7.9258%
322’300,27’395.50,8.5000%,25’544.75,7.9258%
322’400,27’404.00,8.5000%,25’555.60,7.9267%
322’500,27’412.50,8.5000%,25’563.55,7.9267%
322’600,27’421.00,8.5000%,25’574.40,7.9276%
322’700,27’429.50,8.5000%,25’582.35,7.9276%
322’800,27’438.00,8.5000%,25’593.20,7.9285%
322’900,27’446.50,8.5000%,25’601.15,7.9285%
323’000,27’455.00,8.5000%,25’612.00,7.9294%
323’100,27’463.50,8.5000%,25’619.95,7.9294%
323’200,27’472.00,8.5000%,25’630.80,7.9303%
323’300,27’480.50,8.5000%,25’638.75,7.9303%
323’400,27’489.00,8.5000%,25’649.60,7.9312%
323’500,27’497.50,8.5000%,25’657.55,7.9312%
323’600,27’506.00,8.5000%,25’668.40,7.9321%
323’700,27’514.50,8.5000%,25’676.35,7.9321%
323’800,27’523.00,8.5000%,25’687.20,7.9330%
323’900,27’531.50,8.5000%,25’695.15,7.9330%
324’000,27’540.00,8.5000%,25’706.00,7.9340%
324’100,27’548.50,8.5000%,25’713.95,7.9340%
324’200,27’557.00,8.5000%,25’724.80,7.9349%
324’300,27’565.50,8.5000%,25’732.75,7.9349%
324’400,27’574.00,8.5000%,25’743.60,7.9358%
324’500,27’582.50,8.5000%,25’751.55,7.9358%
324’600,27’591.00,8.5000%,25’762.40,7.9367%
324’700,27’599.50,8.5000%,25’770.35,7.9367%
324’800,27’608.00,8.5000%,25’781.20,7.9376%
324’900,27’616.50,8.5000%,25’789.15,7.9376%
325’000,27’625.00,8.5000%,25’800.00,7.9385%
325’100,27’633.50,8.5000%,25’807.95,7.9385%
325’200,27’642.00,8.5000%,25’818.80,7.9394%
325’300,27’650.50,8.5000%,25’826.75,7.9394%
325’400,27’659.00,8.5000%,25’837.60,7.9403%
325’500,27’667.50,8.5000%,25’845.55,7.9403%
325’600,27’676.00,8.5000%,25’856.40,7.9412%
325’700,27’684.50,8.5000%,25’864.35,7.9412%
325’800,27’693.00,8.5000%,25’875.20,7.9421%
325’900,27’701.50,8.5000%,25’883.15,7.9421%
326’000,27’710.00,8.5000%,25’894.00,7.9429%
326’100,27’718.50,8.5000%,25’901.95,7.9429%
326’200,27’727.00,8.5000%,25’912.80,7.9438%
326’300,27’735.50,8.5000%,25’920.75,7.9438%
326’400,27’744.00,8.5000%,25’931.60,7.9447%
326’500,27’752.50,8.5000%,25’939.55,7.9447%
326’600,27’761.00,8.5000%,25’950.40,7.9456%
326’700,27’769.50,8.5000%,25’958.35,7.9456%
326’800,27’778.00,8.5000%,25’969.20,7.9465%
326’900,27’786.50,8.5000%,25’977.15,7.9465%
327’000,27’795.00,8.5000%,25’988.00,7.9474%
327’100,27’803.50,8.5000%,25’995.95,7.9474%
327’200,27’812.00,8.5000%,26’006.80,7.9483%
327’300,27’820.50,8.5000%,26’014.75,7.9483%
327’400,27’829.00,8.5000%,26’025.60,7.9492%
327’500,27’837.50,8.5000%,26’033.55,7.9492%
327’600,27’846.00,8.5000%,26’044.40,7.9501%
327’700,27’854.50,8.5000%,26’052.35,7.9501%
327’800,27’863.00,8.5000%,26’063.20,7.9509%
327’900,27’871.50,8.5000%,26’071.15,7.9509%
328’000,27’880.00,8.5000%,26’082.00,7.9518%
328’100,27’888.50,8.5000%,26’089.95,7.9518%
328’200,27’897.00,8.5000%,26’100.80,7.9527%
328’300,27’905.50,8.5000%,26’108.75,7.9527%
328’400,27’914.00,8.5000%,26’119.60,7.9536%
328’500,27’922.50,8.5000%,26’127.55,7.9536%
328’600,27’931.00,8.5000%,26’138.40,7.9545%
328’700,27’939.50,8.5000%,26’146.35,7.9545%
328’800,27’948.00,8.5000%,26’157.20,7.9554%
328’900,27’956.50,8.5000%,26’165.15,7.9554%
329’000,27’965.00,8.5000%,26’176.00,7.9562%
329’100,27’973.50,8.5000%,26’183.95,7.9562%
329’200,27’982.00,8.5000%,26’194.80,7.9571%
329’300,27’990.50,8.5000%,26’202.75,7.9571%
329’400,27’999.00,8.5000%,26’213.60,7.9580%
329’500,28’007.50,8.5000%,26’221.55,7.9580%
329’600,28’016.00,8.5000%,26’232.40,7.9589%
329’700,28’024.50,8.5000%,26’240.35,7.9589%
329’800,28’033.00,8.5000%,26’251.20,7.9597%
329’900,28’041.50,8.5000%,26’259.15,7.9597%
330’000,28’050.00,8.5000%,26’270.00,7.9606%
330’100,28’058.50,8.5000%,26’277.95,7.9606%
330’200,28’067.00,8.5000%,26’288.80,7.9615%
330’300,28’075.50,8.5000%,26’296.75,7.9615%
330’400,28’084.00,8.5000%,26’307.60,7.9623%
330’500,28’092.50,8.5000%,26’315.55,7.9623%
330’600,28’101.00,8.5000%,26’326.40,7.9632%
330’700,28’109.50,8.5000%,26’334.35,7.9632%
330’800,28’118.00,8.5000%,26’345.20,7.9641%
330’900,28’126.50,8.5000%,26’353.15,7.9641%
331’000,28’135.00,8.5000%,26’364.00,7.9650%
331’100,28’143.50,8.5000%,26’371.95,7.9650%
